h-earth-u0m0s0	대기와 해양 > 해수의 순환과 대기의 변화 > 해수의 성질과 순환	해수의 염분과 수온 분포 분석 | 수온 염분도(T-S도) 해석 | 표층 순환과 심층 순환 구분 | 용존 산소량 자료 해석 | 심층수 형성 과정 분석
h-earth-u0m0s1	대기와 해양 > 해수의 순환과 대기의 변화 > 기압과 날씨 변화	기단과 전선의 종류 구분 | 일기도 해석 | 온대 저기압의 날씨 변화 분석 | 위성 영상 해석
h-earth-u0m0s2	대기와 해양 > 해수의 순환과 대기의 변화 > 태풍과 악기상	태풍의 구조와 이동 경로 분석 | 안전 반원·위험 반원 구분 | 우리나라 주요 악기상 원인 분석 | 태풍의 에너지원 설명
h-earth-u0m1s0	대기와 해양 > 대기와 해양의 상호작용과 기후 변화 > 대기와 해양의 상호작용	대기 대순환과 표층 해류 관계 분석 | 엘니뇨와 라니냐 비교 분석 | 남방 진동 자료 해석 | 용승과 침강 현상 분석
h-earth-u0m1s1	대기와 해양 > 대기와 해양의 상호작용과 기후 변화 > 기후 변화	기후 변화의 자연적 요인 분석 | 인위적 기후 변화 원인 분석 | 지구 온난화 자료 해석 | 기후 변화 지표 해석
h-earth-u1m0s0	지구의 역사 > 지구의 역사 > 지층과 지질 시대	지층의 생성 순서 판단 | 지사학의 법칙 적용 | 상대·절대 연령 비교 | 방사성 동위 원소 반감기 계산
h-earth-u1m0s1	지구의 역사 > 지구의 역사 > 퇴적암과 퇴적 구조	퇴적암의 종류 구분 | 퇴적 구조로 지층 역전 판단 | 퇴적 환경 해석
h-earth-u1m0s2	지구의 역사 > 지구의 역사 > 지질 시대의 환경과 생물	화석으로 지질 시대 구분 | 표준 화석과 시상 화석 구분 | 지질 시대별 환경·생물 분석 | 지질 시대 구분 기준 분석
h-earth-u1m1s0	지구의 역사 > 한반도의 암석 > 화성암과 변성암	마그마의 생성 조건 분석 | 화성암의 조직·성분 분류 | 변성 작용과 변성암 구분 | 조암 광물 판단 | 광물의 정출 순서(보웬 반응 계열) 분석
h-earth-u1m1s1	지구의 역사 > 한반도의 암석 > 한반도의 지질	판 경계와 지각 변동 구분 | 우리나라 지질 명소 특징 분석 | 암석 순환 과정 설명
h-earth-u2m0s0	태양계 천체와 별과 우주의 진화 > 태양계 천체 > 태양계 행성과 겉보기 운동	행성의 겉보기 운동 분석 | 내행성·외행성 위치 관계 분석 | 행성의 시운동 자료 해석 | 케플러 법칙 적용 계산
h-earth-u2m0s1	태양계 천체와 별과 우주의 진화 > 태양계 천체 > 식 현상	일식과 월식 원리 분석 | 태양-지구-달 시스템 분석 | 식 현상 관측 자료 해석 | 식 현상 주기 분석
h-earth-u2m1s0	태양계 천체와 별과 우주의 진화 > 별과 우주의 진화 > 별의 물리량	별의 밝기와 등급 계산 | 별의 표면 온도와 색 관계 분석 | 별의 반지름·광도 계산 | 별의 스펙트럼 분석
h-earth-u2m1s1	태양계 천체와 별과 우주의 진화 > 별과 우주의 진화 > H-R도와 별의 진화	H-R도에서 별의 분류 | 별의 진화 경로 분석 | 주계열성의 특징 파악 | 별의 최종 진화 산물 구분
h-earth-u2m1s2	태양계 천체와 별과 우주의 진화 > 별과 우주의 진화 > 외계 행성과 우주의 팽창	외계 행성 탐사 방법 분석 | 외계 생명체 존재 가능 조건 분석 | 허블 법칙 적용 계산 | 우주의 팽창과 진화 분석
